#freq	 asd
20.0	 1.0743852195558164e-22
20.25	 9.916134730831364e-23
20.5	 9.169937840574494e-23
20.75	 8.49849504324148e-23
21.0	 7.849744645528286e-23
21.25	 7.291152583782621e-23
21.5	 6.751246033140845e-23
21.75	 6.300513233062844e-23
22.0	 5.892736545952143e-23
22.25	 5.525345781034885e-23
22.5	 5.1976093543089595e-23
22.75	 4.885326191770617e-23
23.0	 4.598611094667606e-23
23.25	 4.3428192456053245e-23
23.5	 4.108456157731271e-23
23.75	 3.898195993020361e-23
24.0	 3.6948786177627e-23
24.25	 3.5109205345607014e-23
24.5	 3.360045535405733e-23
24.75	 3.208341783538655e-23
25.0	 3.0822599176578215e-23
25.25	 2.967623577881804e-23
25.5	 2.8609676684646404e-23
25.75	 2.76015130020077e-23
26.0	 2.666050168320169e-23
26.25	 2.5850310443010158e-23
26.5	 2.5103478045880416e-23
26.75	 2.4441857949018525e-23
27.0	 2.3833051210451424e-23
27.25	 2.3276780920049922e-23
27.5	 2.2772913515841576e-23
27.75	 2.230892713691091e-23
28.0	 2.1885339156613497e-23
28.25	 2.1488851760854974e-23
28.5	 2.112248635932806e-23
28.75	 2.0800285574962668e-23
29.0	 2.0500844372854498e-23
29.25	 2.022265956792034e-23
29.5	 1.996694017620126e-23
29.75	 1.973124628603069e-23
30.0	 1.9513280862018054e-23
30.25	 1.9310872067309648e-23
30.5	 1.9121955443939304e-23
30.75	 1.894456254443475e-23
31.0	 1.8776806970302485e-23
31.25	 1.8616875677728525e-23
31.5	 1.8452452953469356e-23
31.75	 1.8301674786751073e-23
32.0	 1.814674598929516e-23
32.25	 1.7990179265365867e-23
32.5	 1.7835863029301385e-23
32.75	 1.7683759781222996e-23
33.0	 1.7544779850428445e-23
33.25	 1.740909647282133e-23
33.5	 1.7277540334202668e-23
33.75	 1.71416052340497e-23
34.0	 1.7003624319538466e-23
34.25	 1.6866717522979983e-23
34.5	 1.6737451418898875e-23
34.75	 1.6609479823281642e-23
35.0	 1.6483185978444822e-23
35.25	 1.6358544250635507e-23
35.5	 1.623494687395065e-23
35.75	 1.6110210426931114e-23
36.0	 1.598119582509394e-23
36.25	 1.5852220349212914e-23
36.5	 1.5728583534444543e-23
36.75	 1.5609020468946794e-23
37.0	 1.5491160059853492e-23
37.25	 1.5379787709848273e-23
37.5	 1.52679058812923e-23
37.75	 1.514481990648948e-23
38.0	 1.5041563083669196e-23
38.25	 1.4940348389512207e-23
38.5	 1.4841472635826944e-23
38.75	 1.4743771905452145e-23
39.0	 1.464723045493584e-23
39.25	 1.4550697234153418e-23
39.5	 1.4452652697688408e-23
39.75	 1.4358451866409555e-23
40.0	 1.426020827337385e-23
40.25	 1.4165773540474237e-23
40.5	 1.4072507949900046e-23
40.75	 1.3978669464580667e-23
41.0	 1.3880797167309954e-23
41.25	 1.378691444812798e-23
41.5	 1.3690913044789963e-23
41.75	 1.3593609895829732e-23
42.0	 1.3494208016775197e-23
42.25	 1.3399958208890058e-23
42.5	 1.331695460681608e-23
42.75	 1.323670087295169e-23
43.0	 1.3151613209032572e-23
43.25	 1.3066056405817327e-23
43.5	 1.2977098288908812e-23
43.75	 1.289497460253412e-23
44.0	 1.281308159655592e-23
44.25	 1.273225706620786e-23
44.5	 1.2660213663283887e-23
44.75	 1.259027084696751e-23
45.0	 1.251986062222739e-23
45.25	 1.2444141995332582e-23
45.5	 1.2366582389649939e-23
45.75	 1.2290036208246094e-23
46.0	 1.2222554561138191e-23
46.25	 1.215392940575187e-23
46.5	 1.2081206065621097e-23
46.75	 1.2009419219928997e-23
47.0	 1.1938556445399922e-23
47.25	 1.1868603961713441e-23
47.5	 1.1802995806150233e-23
47.75	 1.1739233365088198e-23
48.0	 1.1671018807284993e-23
48.25	 1.1609399209261434e-23
48.5	 1.154953635433042e-23
48.75	 1.1486075918258594e-23
49.0	 1.1423372094088505e-23
49.25	 1.136141452460916e-23
49.5	 1.1300193361177497e-23
49.75	 1.1239698839381774e-23
50.0	 1.1181904131229171e-23
50.25	 1.1122625139777029e-23
50.5	 1.1067394905758084e-23
50.75	 1.1012807543946275e-23
51.0	 1.0958853954679751e-23
51.25	 1.0903151379303142e-23
51.5	 1.0849433164916958e-23
51.75	 1.0796373928315007e-23
52.0	 1.0743965748270049e-23
52.25	 1.0694007667848382e-23
52.5	 1.0645017613888668e-23
52.75	 1.059513850782518e-23
53.0	 1.0545838041616228e-23
53.25	 1.0493780062494163e-23
53.5	 1.0442036678732746e-23
53.75	 1.0392466983349044e-23
54.0	 1.0344510138232743e-23
54.25	 1.0296462499324707e-23
54.5	 1.0248983364217156e-23
54.75	 1.0202064987050416e-23
55.0	 1.0155700862077418e-23
55.25	 1.0110866926233378e-23
55.5	 1.0067965534307316e-23
55.75	 1.0025281043442124e-23
56.0	 9.981877178166439e-24
56.25	 9.939016953401378e-24
56.5	 9.89738566491172e-24
56.75	 9.856256185793874e-24
57.0	 9.814332631412082e-24
57.25	 9.772698706089327e-24
