#freq	 asd
20.0	 6.95750673733055e-22
20.25	 6.54123459294956e-22
20.5	 6.150455267701734e-22
20.75	 5.789037052913032e-22
21.0	 5.444566098414087e-22
21.25	 5.1313887009268745e-22
21.5	 4.836176175451014e-22
21.75	 4.564082602232348e-22
22.0	 4.310997564369528e-22
22.25	 4.0810966663385957e-22
22.5	 3.8644145740331743e-22
22.75	 3.66711739653914e-22
23.0	 3.4826426747514596e-22
23.25	 3.3135177681732747e-22
23.5	 3.157625690293262e-22
23.75	 3.0142246100780216e-22
24.0	 2.879036297096652e-22
24.25	 2.7579430741043224e-22
24.5	 2.643841901475956e-22
24.75	 2.5370553797660785e-22
25.0	 2.4397848265779504e-22
25.25	 2.348733701380384e-22
25.5	 2.263415560607464e-22
25.75	 2.1829796151132515e-22
26.0	 2.108855139643309e-22
26.25	 2.0376947759662142e-22
26.5	 1.9718684033170165e-22
26.75	 1.9115425708050554e-22
27.0	 1.8551293755423097e-22
27.25	 1.8022416597115938e-22
27.5	 1.7513095100524064e-22
27.75	 1.7047008535224003e-22
28.0	 1.660698648159864e-22
28.25	 1.6195601254661712e-22
28.5	 1.5809095483296948e-22
28.75	 1.5442376760071618e-22
29.0	 1.5086185733975305e-22
29.25	 1.4758336627140608e-22
29.5	 1.4458993740921255e-22
29.75	 1.416583919151986e-22
30.0	 1.3885388003221229e-22
30.25	 1.3618535163518873e-22
30.5	 1.3366525352536463e-22
30.75	 1.311899386386014e-22
31.0	 1.2882332863266654e-22
31.25	 1.265634228361417e-22
31.5	 1.243517189265995e-22
31.75	 1.222137471809125e-22
32.0	 1.2017695286534769e-22
32.25	 1.182359928279033e-22
32.5	 1.1630584680058006e-22
32.75	 1.1447314095454882e-22
33.0	 1.1271224423282504e-22
33.25	 1.1119172631090858e-22
33.5	 1.096464773715964e-22
33.75	 1.082545611048329e-22
34.0	 1.0703807733699255e-22
34.25	 1.0635106957619187e-22
34.5	 1.0674291545578095e-22
34.75	 1.0869797606211443e-22
35.0	 1.1380927027268033e-22
35.25	 1.2612394697280925e-22
35.5	 1.5547523918618039e-22
35.75	 2.117659084933172e-22
36.0	 3.5064939754689444e-22
36.25	 1.2562961434311577e-21
36.5	 6.151572969574529e-22
36.75	 2.661869643690314e-22
37.0	 1.7714175114862107e-22
37.25	 1.3095724493131337e-22
37.5	 1.0853432636728345e-22
37.75	 9.717921588487941e-23
38.0	 9.09846140839208e-23
38.25	 8.715044463455134e-23
38.5	 8.459934987929871e-23
38.75	 8.277137186249845e-23
39.0	 8.126284513847642e-23
39.25	 7.974239775677679e-23
39.5	 7.875277772878871e-23
39.75	 7.778978081984805e-23
40.0	 7.68553836760965e-23
40.25	 7.5955908262623e-23
40.5	 7.508362005124686e-23
40.75	 7.421489068913327e-23
41.0	 7.335086911550537e-23
41.25	 7.252723626335144e-23
41.5	 7.168507515515346e-23
41.75	 7.089181899203884e-23
42.0	 7.008962120028899e-23
42.25	 6.929862913507019e-23
42.5	 6.850532825992442e-23
42.75	 6.770450501997634e-23
43.0	 6.692865604507534e-23
43.25	 6.61329343065919e-23
43.5	 6.533521255800734e-23
43.75	 6.455989467153737e-23
44.0	 6.379882444058041e-23
44.25	 6.305160584790842e-23
44.5	 6.229249553517662e-23
44.75	 6.154051510996638e-23
45.0	 6.083547484815089e-23
45.25	 6.012624219091028e-23
45.5	 5.945536140668897e-23
45.75	 1.0343524544370744e-22
46.0	 1.1854197568793932e-22
46.25	 1.3799166641504116e-22
46.5	 1.6434050018178722e-22
46.75	 1.9698527863777028e-22
47.0	 2.3980825673858687e-22
47.25	 2.9612835055090556e-22
47.5	 3.7123308042252917e-22
47.75	 4.721768736395293e-22
48.0	 6.097122272023089e-22
48.25	 8.036510436750518e-22
48.5	 1.0870786540080712e-21
48.75	 1.5053986183067924e-21
49.0	 2.1211129154290678e-21
49.25	 2.9288564321250025e-21
49.5	 4.6483491693288276e-21
49.75	 1.1209683313992417e-20
50.0	 3.215268262524917e-20
50.25	 6.296641962189052e-21
50.5	 3.47131819342451e-21
50.75	 2.3896652485233155e-21
51.0	 1.7345590217689337e-21
51.25	 1.2219369869187199e-21
51.5	 8.9148191232352e-22
51.75	 6.656173825855211e-22
52.0	 5.080541309742496e-22
52.25	 3.9271236293246486e-22
52.5	 3.100483833210552e-22
52.75	 2.4864633518312714e-22
53.0	 1.9961801020949988e-22
53.25	 1.6390713834363652e-22
53.5	 1.3583151328023995e-22
53.75	 4.2116327000345127e-23
54.0	 4.1702997494184996e-23
54.25	 4.128425850127382e-23
54.5	 4.086820279875297e-23
54.75	 4.047264508282106e-23
55.0	 4.00863443082554e-23
55.25	 3.9709948375690444e-23
55.5	 3.9339738179098243e-23
55.75	 3.89650484408784e-23
56.0	 3.860226677282048e-23
56.25	 3.8237350849660076e-23
56.5	 3.7883439653759e-23
56.75	 3.7529788168866607e-23
57.0	 3.718366576872162e-23
57.25	 3.689566370184984e-23
57.5	 3.6577998851768804e-23
57.75	 3.627223456033554e-23
58.0	 3.59808282283774e-23
58.25	 3.570434147271169e-23
58.5	 3.544735533153355e-23
58.75	 3.521824811088706e-23
59.0	 3.5025847598594955e-23
59.25	 3.489713455285405e-23
59.5	 3.485025107513574e-23
59.75	 3.4969486699120996e-23
60.0	 3.533277515282376e-23
60.25	 3.6077070280165486e-23
60.5	 3.738923641905515e-23
60.75	 3.954566980087706e-23
61.0	 4.3043117916805237e-23
61.25	 4.8225304560987483e-23
61.5	 5.550837774606641e-23
61.75	 6.927528419284904e-23
62.0	 1.0022050688357149e-22
62.25	 1.8555268793526005e-22
62.5	 2.467377149930671e-22
62.75	 1.1846244130525084e-22
63.0	 7.648888808186454e-23
63.25	 5.824341164458002e-23
63.5	 4.865465034300421e-23
63.75	 4.2066494981160483e-23
64.0	 3.7141284307358033e-23
64.25	 3.398999852897908e-23
64.5	 3.185827992845816e-23
64.75	 3.033850688481554e-23
65.0	 2.929206377160886e-23
65.25	 2.8508858272473837e-23
