#freq	 asd
20.0	 1.0690767044510884e-22
20.25	 9.884128691999108e-23
20.5	 9.150054644645572e-23
20.75	 8.490406350699595e-23
21.0	 7.884763788472043e-23
21.25	 7.333723474470522e-23
21.5	 6.819387802435055e-23
21.75	 6.347436490426666e-23
22.0	 5.919759285646673e-23
22.25	 5.531351552740071e-23
22.5	 5.182373973383241e-23
22.75	 4.8683467419648735e-23
23.0	 4.5797325249407304e-23
23.25	 4.3118441530277965e-23
23.5	 4.0721308918059105e-23
23.75	 3.856209278553227e-23
24.0	 3.6641915888774155e-23
24.25	 3.4922986699307375e-23
24.5	 3.335700825913499e-23
24.75	 3.193007986209868e-23
25.0	 3.062025473440742e-23
25.25	 2.944002377716431e-23
25.5	 2.835762684005839e-23
25.75	 2.737608445340568e-23
26.0	 2.648065331520354e-23
26.25	 2.5675182569944852e-23
26.5	 2.493160644643662e-23
26.75	 2.4252216393558754e-23
27.0	 2.3632181448186284e-23
27.25	 2.3062523712724937e-23
27.5	 2.2536969627702832e-23
27.75	 2.205372984327141e-23
28.0	 2.1609627484063673e-23
28.25	 2.1203749668395918e-23
28.5	 2.0831886616434912e-23
28.75	 2.048728874204686e-23
29.0	 2.0171849196342908e-23
29.25	 1.9878254450529605e-23
29.5	 1.960596847901169e-23
29.75	 1.9351718269962488e-23
30.0	 1.9114183215612432e-23
30.25	 1.8886794328313104e-23
30.5	 1.867592032538156e-23
30.75	 1.8473981704007394e-23
31.0	 1.828178054785693e-23
31.25	 1.8096463742952653e-23
31.5	 1.7920756122440815e-23
31.75	 1.774754912656956e-23
32.0	 1.758000284414084e-23
32.25	 1.741638596265023e-23
32.5	 1.7255202114145173e-23
32.75	 1.7095686590482407e-23
33.0	 1.6939760919210164e-23
33.25	 1.6782818595218145e-23
33.5	 1.663087490182041e-23
33.75	 1.6482278361925575e-23
34.0	 1.6333829924423726e-23
34.25	 1.6187495173744455e-23
34.5	 1.6045077126645418e-23
34.75	 1.5905517910461137e-23
35.0	 1.57678311761637e-23
35.25	 1.5634337210128225e-23
35.5	 1.5502612683028625e-23
35.75	 1.537444307934437e-23
36.0	 1.5248655678452446e-23
36.25	 1.5127276688155078e-23
36.5	 1.5007081661668934e-23
36.75	 1.48899798522362e-23
37.0	 1.4773963584630902e-23
37.25	 1.4659757842474753e-23
37.5	 1.4546322559327494e-23
37.75	 1.4434524585174255e-23
38.0	 1.43248909245411e-23
38.25	 1.421662758884821e-23
38.5	 1.4111679559853958e-23
38.75	 1.4004677789938617e-23
39.0	 1.3901546676539268e-23
39.25	 1.3799764490744037e-23
39.5	 1.3699543788024476e-23
39.75	 1.360132346501619e-23
40.0	 1.35045918116765e-23
40.25	 1.3408374248953525e-23
40.5	 1.3314672357966604e-23
40.75	 1.3222688833970192e-23
41.0	 1.3134153950673793e-23
41.25	 1.30451715205282e-23
41.5	 1.2958491424544757e-23
41.75	 1.2873441653264289e-23
42.0	 1.2788647309234858e-23
42.25	 1.2707261703451298e-23
42.5	 1.2626004910501183e-23
42.75	 1.2545955523594048e-23
43.0	 1.2467878728957866e-23
43.25	 1.2391408313827771e-23
43.5	 1.2315396867336431e-23
43.75	 1.2241160075744455e-23
44.0	 1.2167703152197624e-23
44.25	 1.2095867062761562e-23
44.5	 1.2025369017206915e-23
44.75	 1.1956420869139728e-23
45.0	 1.1888902388362014e-23
45.25	 1.1822415150890278e-23
45.5	 1.1756104797083087e-23
45.75	 1.1690551740615154e-23
46.0	 1.16268654417259e-23
46.25	 1.156406070547885e-23
46.5	 1.150176073477448e-23
46.75	 1.1440432684125195e-23
47.0	 1.1381102758520372e-23
47.25	 1.132249972400088e-23
47.5	 1.1264856856613847e-23
47.75	 1.1207720553261488e-23
48.0	 1.1151367629129622e-23
48.25	 1.1095697364293964e-23
48.5	 1.1040991803275646e-23
48.75	 1.0987310862990999e-23
49.0	 1.093460104439115e-23
49.25	 1.0882991316729055e-23
49.5	 1.083203581973398e-23
49.75	 1.0782253938764381e-23
50.0	 1.073263714098264e-23
50.25	 1.068363234110946e-23
50.5	 1.0635788640246664e-23
