#freq	 asd
20.0	 4.508758143879532e-22
20.25	 4.269408624153935e-22
20.5	 4.0439522746936565e-22
20.75	 3.8299869451474636e-22
21.0	 3.628622328101948e-22
21.25	 3.438640719819388e-22
21.5	 3.259570523857399e-22
21.75	 3.090776601438545e-22
22.0	 2.9311090051378167e-22
22.25	 2.7804226297453416e-22
22.5	 2.6383233312086676e-22
22.75	 2.504426081959697e-22
23.0	 2.3783397570574313e-22
23.25	 2.258948870603317e-22
23.5	 2.1463527203141615e-22
23.75	 2.0398517102966087e-22
24.0	 1.9393993915643058e-22
24.25	 1.8441000515156438e-22
24.5	 1.7542462768950088e-22
24.75	 1.669577790939973e-22
25.0	 1.589355215173751e-22
25.25	 1.513385278109973e-22
25.5	 1.441755873925957e-22
25.75	 1.3741524660677214e-22
26.0	 1.31020227445994e-22
26.25	 1.2497879820193504e-22
26.5	 1.192581234130405e-22
26.75	 1.1383914089626643e-22
27.0	 1.0873476904835914e-22
27.25	 1.0390332044742363e-22
27.5	 9.933327740490595e-23
27.75	 9.500894694711651e-23
28.0	 9.091672013441752e-23
28.25	 8.705630362012851e-23
28.5	 8.340113908095021e-23
28.75	 7.994029021713644e-23
29.0	 7.665572385673492e-23
29.25	 7.354454432519111e-23
29.5	 7.060651528010712e-23
29.75	 6.781338363479587e-23
30.0	 6.517131270735614e-23
30.25	 6.267184375778329e-23
30.5	 6.029900496691467e-23
30.75	 5.80495478018563e-23
31.0	 5.591900392532042e-23
31.25	 5.390018552843766e-23
31.5	 5.1982593240430015e-23
31.75	 5.0167967867953354e-23
32.0	 4.844667171230651e-23
32.25	 4.6816343300176703e-23
32.5	 4.527786434892883e-23
32.75	 4.382311034146253e-23
33.0	 4.2435833914275794e-23
33.25	 4.1122682305511153e-23
33.5	 3.987530564146186e-23
33.75	 3.8685268513996386e-23
34.0	 3.755449373909865e-23
34.25	 3.648225596094628e-23
34.5	 3.546244492417295e-23
34.75	 3.4493187733232197e-23
35.0	 3.357134194517699e-23
35.25	 3.2693118541980667e-23
35.5	 3.18549054307182e-23
35.75	 3.104971819517852e-23
36.0	 3.02801915449688e-23
36.25	 2.95494500794854e-23
36.5	 2.884978336140499e-23
36.75	 2.818270746397514e-23
37.0	 2.754369256290812e-23
37.25	 2.693538564787963e-23
37.5	 2.6348814015055784e-23
37.75	 2.5788660298666155e-23
38.0	 2.5252623626071013e-23
38.25	 2.4738633753705964e-23
38.5	 2.4246752359852236e-23
38.75	 2.377666923688009e-23
39.0	 2.332498660235414e-23
39.25	 2.2893448844593074e-23
39.5	 2.2478100453552564e-23
39.75	 2.2078485002372785e-23
40.0	 2.169518379733161e-23
40.25	 2.1335791525040733e-23
40.5	 2.0998047528282242e-23
40.75	 2.067783837832185e-23
41.0	 2.0359923870191657e-23
41.25	 2.005377769897732e-23
41.5	 1.9763463765241153e-23
41.75	 1.9488637715345834e-23
42.0	 1.923526708938558e-23
42.25	 1.900402588926883e-23
42.5	 1.8788613573119226e-23
42.75	 1.861526255522602e-23
43.0	 1.850113510031209e-23
43.25	 1.8436309283584932e-23
43.5	 1.8451070429652583e-23
43.75	 1.855185974504982e-23
44.0	 1.8786870415266084e-23
44.25	 1.9169454869661788e-23
44.5	 1.991711575504847e-23
44.75	 2.1331994749671208e-23
45.0	 2.4167333324138184e-23
45.25	 2.8674989102003157e-23
45.5	 3.7250302012198505e-23
45.75	 5.61423636837638e-23
46.0	 9.916526609655218e-23
46.25	 5.626757503216217e-23
46.5	 3.568571142628377e-23
46.75	 2.68740581230301e-23
47.0	 2.2110811834937224e-23
47.25	 1.9149947780607654e-23
47.5	 1.7507341317287444e-23
47.75	 1.651467529199409e-23
48.0	 1.585684394827672e-23
48.25	 1.5404609699697038e-23
48.5	 1.508734569100874e-23
48.75	 1.4855217938488818e-23
49.0	 1.468136574028452e-23
49.25	 1.4530450784473275e-23
49.5	 1.4386156540229916e-23
49.75	 1.4277937526127505e-23
50.0	 1.41964079963912e-23
50.25	 1.4119047418292778e-23
50.5	 1.4044322696378063e-23
50.75	 1.3972848671620257e-23
51.0	 1.3902625651293356e-23
51.25	 1.3836184445142384e-23
51.5	 1.3771601214092718e-23
51.75	 1.3708300405228944e-23
52.0	 1.364760052170344e-23
52.25	 1.3588175006232442e-23
52.5	 1.3530631914289886e-23
52.75	 1.3475403519004542e-23
53.0	 1.3421587089461516e-23
53.25	 1.336934927361837e-23
53.5	 1.3318840039583027e-23
53.75	 1.326860957297335e-23
54.0	 1.3220060514233662e-23
54.25	 1.3172262523955405e-23
54.5	 1.3125452373156516e-23
54.75	 1.307965978150808e-23
55.0	 1.3034684499442248e-23
55.25	 1.2990958394206333e-23
55.5	 1.2947200469599596e-23
55.75	 1.2904069125667299e-23
56.0	 1.2861454039104598e-23
56.25	 1.2818950815101836e-23
56.5	 1.2776854072892905e-23
56.75	 1.2735010797011521e-23
57.0	 1.2693581055005715e-23
57.25	 1.2652430596529664e-23
57.5	 1.2611978433219745e-23
57.75	 1.2570799497247579e-23
58.0	 1.253000399042235e-23
58.25	 1.2488714905866016e-23
58.5	 1.2447610212406234e-23
58.75	 1.2407820114750214e-23
59.0	 1.2368225418385615e-23
59.25	 1.2328604949466099e-23
59.5	 1.229129773457628e-23
59.75	 1.2251020365667506e-23
60.0	 1.2211572380328423e-23
60.25	 1.2172818079639571e-23
60.5	 1.2134104828952155e-23
60.75	 1.2096342422401906e-23
61.0	 1.205844102693213e-23
61.25	 1.202108564148846e-23
61.5	 1.1983926735423577e-23
61.75	 1.1947280025177278e-23
62.0	 1.1910562539191841e-23
62.25	 1.1874742102462689e-23
62.5	 1.1838496526164123e-23
62.75	 1.180328344148356e-23
63.0	 1.1768241160003478e-23
63.25	 1.1733008991729274e-23
63.5	 1.1698418696558949e-23
63.75	 1.166394015759683e-23
64.0	 1.1630219258466281e-23
64.25	 1.1596766790791302e-23
64.5	 1.1563693181678594e-23
64.75	 1.1530958329644593e-23
65.0	 1.1498282480440285e-23
65.25	 1.1465993197276893e-23
65.5	 1.1433940703012238e-23
65.75	 1.1401885808935291e-23
66.0	 1.1369828494748722e-23
66.25	 1.1338496372976445e-23
66.5	 1.1306878437482203e-23
66.75	 1.1275836997757639e-23
67.0	 1.1245110048372137e-23
67.25	 1.1214945385511246e-23
67.5	 1.1184900535990473e-23
67.75	 1.1154685114336486e-23
68.0	 1.1124612352796839e-23
68.25	 1.1095426985925327e-23
68.5	 1.1066119464383167e-23
68.75	 1.1037119189353714e-23
69.0	 1.1007883538628123e-23
69.25	 1.0979275932410115e-23
69.5	 1.0950913203929615e-23
69.75	 1.0922705708751839e-23
70.0	 1.089410390991384e-23
70.25	 1.0865702922498848e-23
70.5	 1.0838173277817624e-23
70.75	 1.081085103033059e-23
71.0	 1.078359865722014e-23
71.25	 1.0756556140326699e-23
71.5	 1.073009785603095e-23
71.75	 1.0703644239229926e-23
72.0	 1.0677312395916867e-23
72.25	 1.0651431828632243e-23
72.5	 1.0625299995764825e-23
72.75	 1.0599339602069556e-23
73.0	 1.0573599198002542e-23
73.25	 1.0548317401367859e-23
73.5	 1.0523592542473316e-23
73.75	 1.0498214133842003e-23
74.0	 1.0473084550408252e-23
74.25	 1.0448803759282686e-23
74.5	 1.0424730212336433e-23
74.75	 1.0400721128844865e-23
75.0	 1.0377041967728568e-23
75.25	 1.0353815721752053e-23
75.5	 1.033046465557092e-23
75.75	 1.0306915154399981e-23
76.0	 1.0284089653440406e-23
76.25	 1.0260068225894017e-23
76.5	 1.0236942903035065e-23
76.75	 1.0213447018514366e-23
77.0	 1.0190215895652065e-23
77.25	 1.0166956280027962e-23
77.5	 1.0143988367501216e-23
77.75	 1.0121882236027052e-23
78.0	 1.0098985097523414e-23
78.25	 1.0077326034221579e-23
78.5	 1.0055073346326222e-23
78.75	 1.0033668322203998e-23
79.0	 1.0012642008980447e-23
79.25	 9.991346255635424e-24
79.5	 9.9707823163481e-24
79.75	 9.950050251129389e-24
80.0	 9.929451142938365e-24
80.25	 9.908733521495065e-24
80.5	 9.888655115838554e-24
80.75	 9.868561191987412e-24
81.0	 9.848502424226741e-24
81.25	 9.828657080191576e-24
81.5	 9.808873533693866e-24
81.75	 9.789330927085875e-24
82.0	 9.769979529149486e-24
82.25	 9.750820478298224e-24
82.5	 9.732086107305052e-24
82.75	 9.71316117440661e-24
83.0	 9.694379815130001e-24
83.25	 9.6759495658049e-24
83.5	 9.657251161691924e-24
83.75	 9.638905539530928e-24
84.0	 9.620732820320913e-24
84.25	 9.602525709416246e-24
84.5	 9.584623101614378e-24
84.75	 9.566869916540101e-24
85.0	 9.549057545119309e-24
85.25	 9.531605321245734e-24
85.5	 9.51393714505199e-24
85.75	 9.496394052481184e-24
86.0	 9.478844866332605e-24
86.25	 9.461448092126279e-24
86.5	 9.444495751494624e-24
86.75	 9.427433372875143e-24
