#freq	 asd
20.0	 2.6411077221499317e-22
20.125	 2.5627621817094147e-22
20.25	 2.486935865678888e-22
20.375	 2.4136124378201234e-22
20.5	 2.3431282508646425e-22
20.625	 2.274236135496928e-22
20.75	 2.208030796886674e-22
20.875	 2.1445104336421404e-22
21.0	 2.0829246265767757e-22
21.125	 2.023579748860914e-22
21.25	 1.9665324812979824e-22
21.375	 1.911295372254116e-22
21.5	 1.85813078118845e-22
21.625	 1.806592095631994e-22
21.75	 1.756359872008012e-22
21.875	 1.7078714822843081e-22
22.0	 1.6605044414273633e-22
22.125	 1.6151393128767562e-22
22.25	 1.5711546709347238e-22
22.375	 1.5285516020075999e-22
22.5	 1.4875415960570648e-22
22.625	 1.447682630965779e-22
22.75	 1.4088924728310533e-22
22.875	 1.371799183554211e-22
23.0	 1.3360464063796586e-22
23.125	 1.3017084927125582e-22
23.25	 1.268307927910253e-22
23.375	 1.2360137539687817e-22
23.5	 1.204903315623291e-22
23.625	 1.1750127658880988e-22
23.75	 1.1459275718822722e-22
23.875	 1.1178796894120582e-22
24.0	 1.0907818296983134e-22
24.125	 1.0647779111157407e-22
24.25	 1.03955375041409e-22
24.375	 1.0151206824806596e-22
24.5	 9.914232194174192e-23
24.625	 9.685865991226598e-23
24.75	 9.462914455916846e-23
24.875	 9.247229314773155e-23
25.0	 9.039565808156938e-23
25.125	 8.83899032695477e-23
25.25	 8.644145417564422e-23
25.375	 8.456181171190693e-23
25.5	 8.275279451474736e-23
25.625	 8.102299056440709e-23
25.75	 7.93534813350996e-23
25.875	 7.771019881585685e-23
26.0	 7.610683280757386e-23
26.125	 7.455082159171689e-23
26.25	 7.303714808232863e-23
26.375	 7.15595905522104e-23
26.5	 7.012471033808268e-23
26.625	 6.874536348001952e-23
26.75	 6.741160879255146e-23
26.875	 6.610181540623525e-23
27.0	 6.481184305356545e-23
27.125	 6.357751174747247e-23
27.25	 6.238008496307135e-23
27.375	 6.120743418899374e-23
27.5	 6.007016730457807e-23
27.625	 5.896927165905986e-23
27.75	 5.788566316455224e-23
27.875	 5.681901090304195e-23
28.0	 5.575661395744903e-23
28.125	 5.473846910537415e-23
28.25	 5.373825453064139e-23
28.375	 5.2765282146502355e-23
28.5	 5.183386923624359e-23
28.625	 5.0937707054793895e-23
28.75	 5.0059964043135305e-23
28.875	 4.921719211820195e-23
29.0	 4.84046795258475e-23
29.125	 4.761641523676473e-23
29.25	 4.685744337882723e-23
29.375	 4.612038594808157e-23
29.5	 4.539917400129654e-23
29.625	 4.4698601767840566e-23
29.75	 4.400528377365609e-23
29.875	 4.333635886873746e-23
30.0	 4.268237341104639e-23
30.125	 4.205165870688099e-23
30.25	 4.143546789889068e-23
30.375	 4.0837690923949164e-23
30.5	 4.025754587651861e-23
30.625	 3.9689608211722124e-23
30.75	 3.914824389420297e-23
30.875	 3.861156562482283e-23
31.0	 3.8095669045181504e-23
31.125	 3.759172781344321e-23
31.25	 3.7102088889980303e-23
31.375	 3.662652044625588e-23
31.5	 3.616217637255811e-23
31.625	 3.5711454744941434e-23
31.75	 3.52718017685516e-23
31.875	 3.483607325747264e-23
32.0	 3.4407775284083684e-23
32.125	 3.3994881967731556e-23
32.25	 3.3589209576886447e-23
32.375	 3.31967167051201e-23
32.5	 3.2812375714050334e-23
32.625	 3.2439204675823973e-23
32.75	 3.207530202507842e-23
32.875	 3.173499645501792e-23
33.0	 3.1541163580311997e-23
33.125	 3.1249639997926377e-23
33.25	 3.099439465451778e-23
33.375	 3.0765402646479375e-23
33.5	 3.0583655765784446e-23
33.625	 3.047310289419179e-23
33.75	 3.0413155048432576e-23
33.875	 3.047404633454507e-23
34.0	 3.067311526402234e-23
34.125	 3.1093086048187625e-23
34.25	 3.184909731844845e-23
34.375	 3.301882796223997e-23
34.5	 3.466881884345067e-23
34.625	 3.7199166657332524e-23
34.75	 4.090223710263291e-23
34.875	 4.6318387277624423e-23
35.0	 5.421923090564823e-23
35.125	 6.57882968315794e-23
35.25	 8.076849633365722e-23
35.375	 9.983736775376241e-23
35.5	 1.3092203786987125e-22
35.625	 1.9698857834910124e-22
35.75	 3.9396294241971543e-22
35.875	 1.9650127226051234e-21
36.0	 7.186602117830095e-22
36.125	 3.0420059171540085e-22
36.25	 2.6647795405999347e-22
36.375	 3.880386578680016e-22
36.5	 7.223174509867528e-22
36.625	 2.316943029079481e-21
36.75	 2.0070998978625852e-21
36.875	 6.809497044569445e-22
37.0	 3.536223974807026e-22
37.125	 2.0389028912628477e-22
37.25	 1.265016600681588e-22
37.375	 8.260069612297465e-23
