# GPStime	 magnitude	 std-mag
1187111698.0416002	 18.47	 0.11
1187113213.6012797	 18.1	 0.1
1187134540.5600002	 19.04	 0.06
1187134661.5199997	 19.04	 0.07
1187135026.0416	 19.09	 0.11
1187138972.88	 19.07	 0.04
1187166994.0416	 20.1	 0.12
1187198098.0416002	 20.45	 0.09
1187220562.0415998	 20.82	 0.1
1187308394.64	 21.72	 0.13
1187396945.9999998	 22.729	 0.128
1187397092.8799999	 22.52	 0.14
1187569745.9999998	 23.807	 0.251
1187657027.2800002	 23.85	 0.31
