#freq	 asd
16.0	 8.67937209710472e-22
16.25	 8.134094909699542e-22
16.5	 7.624762291376695e-22
16.75	 7.147831839096384e-22
17.0	 6.700835768767953e-22
17.25	 6.288584896461207e-22
17.5	 5.906559912504063e-22
17.75	 5.543893036486184e-22
18.0	 5.2102639088629665e-22
18.25	 4.894313026360288e-22
18.5	 4.604861561437e-22
18.75	 4.333405127610388e-22
19.0	 4.081580576198392e-22
19.25	 3.844470054506863e-22
19.5	 3.6243068302780327e-22
19.75	 3.4192177467953103e-22
20.0	 3.229736831384254e-22
20.25	 3.053694483736053e-22
20.5	 2.888624240014613e-22
20.75	 2.7325171545664633e-22
21.0	 2.5869286808878204e-22
21.25	 2.451917616886832e-22
21.5	 2.325650446649281e-22
21.75	 2.208643248693641e-22
22.0	 2.1012472486597097e-22
22.25	 2.0011096921458354e-22
22.5	 1.9082164447462451e-22
22.75	 1.8215968269625417e-22
23.0	 1.7404597093871492e-22
23.25	 1.6658286226379953e-22
23.5	 1.5961782481915983e-22
23.75	 1.5318240760609555e-22
24.0	 1.4725267399948974e-22
24.25	 1.4175559953666733e-22
24.5	 1.3672636907341613e-22
24.75	 1.3203162499946745e-22
25.0	 1.2771374240855993e-22
25.25	 1.237279273244323e-22
25.5	 1.2002645541712876e-22
25.75	 1.1660424520573856e-22
26.0	 1.134583624066556e-22
26.25	 1.1054184727966148e-22
26.5	 1.079101478082576e-22
26.75	 1.0542153480195591e-22
27.0	 1.030606617483121e-22
27.25	 1.008265837961398e-22
27.5	 9.869726439977959e-23
27.75	 9.67923034130297e-23
28.0	 9.498868353651397e-23
28.25	 9.327245038059202e-23
28.5	 9.164742222234076e-23
28.75	 9.007746666064715e-23
29.0	 8.862420662550384e-23
29.25	 8.727857698198338e-23
29.5	 8.602732124156837e-23
29.75	 8.484780492151815e-23
30.0	 8.369139740737993e-23
30.25	 8.260750571225353e-23
30.5	 8.156653725640191e-23
30.75	 8.056053624449132e-23
31.0	 7.962882643867106e-23
31.25	 7.868354338741996e-23
31.5	 7.776342327855687e-23
31.75	 7.690741186647747e-23
32.0	 7.609336370538498e-23
32.25	 7.529309397282064e-23
32.5	 7.451845409024533e-23
32.75	 7.379837396582665e-23
33.0	 7.30705138889826e-23
33.25	 7.239820439762302e-23
33.5	 7.172133573770081e-23
33.75	 7.105385281601554e-23
34.0	 7.038075020913033e-23
34.25	 6.973532103604313e-23
34.5	 6.909963820455213e-23
34.75	 6.846564832089155e-23
35.0	 6.782049837622841e-23
35.25	 6.71685938515911e-23
35.5	 6.651037513050125e-23
35.75	 6.588319209024408e-23
36.0	 6.515554466045081e-23
36.25	 6.446301265066658e-23
36.5	 6.37980407222667e-23
36.75	 6.311798475870407e-23
37.0	 6.243640764810224e-23
37.25	 6.174236794940732e-23
37.5	 6.103318769325424e-23
37.75	 6.032520203032891e-23
38.0	 5.961681809690953e-23
38.25	 5.887881622451321e-23
38.5	 5.821146794232216e-23
38.75	 5.751156405454471e-23
39.0	 5.679471806427073e-23
39.25	 5.605042372721191e-23
39.5	 5.531496180962254e-23
39.75	 5.456771023233429e-23
40.0	 5.378359415286413e-23
40.25	 5.299235793961238e-23
40.5	 5.223758225645594e-23
40.75	 5.1480190364838396e-23
41.0	 5.0707938234560475e-23
41.25	 4.990876676496826e-23
41.5	 4.90934822557944e-23
41.75	 4.8292856614617446e-23
42.0	 4.748178598157403e-23
42.25	 4.6692022873291754e-23
42.5	 4.5900381262033106e-23
42.75	 4.511108511219831e-23
43.0	 4.433085832690362e-23
43.25	 4.3557433349544373e-23
43.5	 4.277318084968664e-23
43.75	 4.2012736164168123e-23
44.0	 4.1250151514873253e-23
44.25	 4.0480612643585324e-23
44.5	 3.974669797605834e-23
44.75	 3.9037738151691115e-23
45.0	 3.835055410290704e-23
45.25	 3.7643857400643734e-23
45.5	 3.696613314914072e-23
45.75	 3.631831493888449e-23
46.0	 3.5666931463191504e-23
46.25	 3.5034697087316167e-23
46.5	 3.4420560715944186e-23
46.75	 3.38306813410549e-23
47.0	 3.3245676410625186e-23
47.25	 3.2669710742521124e-23
47.5	 3.210366022745693e-23
47.75	 3.154782084391884e-23
48.0	 3.1012094414921417e-23
48.25	 3.0485980384432445e-23
48.5	 2.997724136741071e-23
48.75	 2.9477957866853667e-23
49.0	 2.8988014764726475e-23
49.25	 2.8505350374973467e-23
49.5	 2.803551319309137e-23
49.75	 2.758396273199339e-23
50.0	 2.713936255699459e-23
50.25	 2.6696722645298614e-23
50.5	 2.6261568879257766e-23
50.75	 2.584105261013955e-23
51.0	 2.5429707037242878e-23
51.25	 2.5025586906204618e-23
51.5	 2.4633919704342628e-23
51.75	 2.423953382390016e-23
52.0	 2.3856550463132762e-23
52.25	 2.3489572154468885e-23
52.5	 2.3133741591018086e-23
52.75	 2.279407817833395e-23
53.0	 2.2469201142897806e-23
53.25	 2.214884872854569e-23
53.5	 2.1841737568243054e-23
53.75	 2.15554285505995e-23
54.0	 2.1279696896337598e-23
54.25	 2.1014483100947306e-23
54.5	 2.0766439271093155e-23
54.75	 2.0534507542183717e-23
55.0	 2.0314292997788528e-23
55.25	 2.009771131248531e-23
55.5	 1.9894371063192724e-23
55.75	 1.969605290407192e-23
56.0	 1.9508434073497546e-23
56.25	 1.9329795653343052e-23
56.5	 1.916183707268173e-23
56.75	 1.9001986738233451e-23
57.0	 1.8851856672487196e-23
57.25	 1.8707271313582856e-23
57.5	 1.8567996660921717e-23
57.75	 1.843576686769498e-23
58.0	 1.8306638140303097e-23
58.25	 1.818441640526305e-23
58.5	 1.8068840582616252e-23
58.75	 1.7958410285991353e-23
59.0	 1.7852758890434833e-23
59.25	 1.7752689937020812e-23
59.5	 1.7657689543085755e-23
59.75	 1.756756955301444e-23
60.0	 1.7480031464502573e-23
60.25	 1.7397025607844577e-23
60.5	 1.7319310032446443e-23
60.75	 1.7242839093374384e-23
61.0	 1.7171080338755625e-23
61.25	 1.7100511688250734e-23
61.5	 1.7031001144970897e-23
61.75	 1.6964020749810464e-23
62.0	 1.6899304719425588e-23
62.25	 1.6835913993603078e-23
62.5	 1.6773207802921897e-23
62.75	 1.6712300858948178e-23
63.0	 1.6651681596763733e-23
63.25	 1.6592965376930067e-23
63.5	 1.6535960812725702e-23
63.75	 1.647587630446405e-23
64.0	 1.641986601650574e-23
64.25	 1.6362304238706724e-23
64.5	 1.6305167892419876e-23
64.75	 1.6249138438698835e-23
65.0	 1.6194150178382315e-23
65.25	 1.613835493475094e-23
65.5	 1.6083516406557368e-23
65.75	 1.6029223312437817e-23
66.0	 1.5973337159153688e-23
66.25	 1.5919186537006216e-23
66.5	 1.5864788054052282e-23
66.75	 1.5811657092158304e-23
67.0	 1.5758489775356013e-23
67.25	 1.5705460833735507e-23
67.5	 1.5653370244135925e-23
67.75	 1.560044871149545e-23
68.0	 1.5548938870546763e-23
68.25	 1.5497419139972953e-23
68.5	 1.5446666307006182e-23
68.75	 1.5395064144069033e-23
69.0	 1.5344314908134544e-23
69.25	 1.5294410743797878e-23
69.5	 1.5244622002529285e-23
69.75	 1.5194982724570635e-23
70.0	 1.5145246779105317e-23
70.25	 1.5095164788765972e-23
70.5	 1.5046012760861264e-23
70.75	 1.4996966359900924e-23
71.0	 1.4948110248456158e-23
71.25	 1.489964764684051e-23
71.5	 1.485136357375982e-23
71.75	 1.4803749525035878e-23
72.0	 1.475567687366459e-23
72.25	 1.4708772892393164e-23
72.5	 1.4661497195034348e-23
72.75	 1.4614923879377545e-23
73.0	 1.4568733644349463e-23
73.25	 1.4523033429693674e-23
73.5	 1.4476998998411236e-23
73.75	 1.4430401934804173e-23
74.0	 1.4385826357912153e-23
74.25	 1.4341809509263466e-23
74.5	 1.4298443971285826e-23
74.75	 1.425394682184552e-23
75.0	 1.421027797053949e-23
75.25	 1.416663333329412e-23
75.5	 1.4122783011857117e-23
75.75	 1.4079133496064308e-23
76.0	 1.4035276983373004e-23
76.25	 1.3991854773402988e-23
76.5	 1.39490501468738e-23
76.75	 1.3906365448958978e-23
77.0	 1.38636034276807e-23
77.25	 1.3821143223337208e-23
77.5	 1.3778788045397898e-23
77.75	 1.3736557064999948e-23
78.0	 1.369401329048574e-23
78.25	 1.3650970661458473e-23
78.5	 1.360878392803707e-23
78.75	 1.3566945124087442e-23
79.0	 1.352488447270438e-23
79.25	 1.348332303254654e-23
79.5	 1.3442246836001786e-23
79.75	 1.340141783543816e-23
80.0	 1.3360726028176763e-23
80.25	 1.332011636585807e-23
80.5	 1.3279514298346907e-23
80.75	 1.323922203152436e-23
81.0	 1.3199659086506742e-23
81.25	 1.3159673248223148e-23
81.5	 1.3120708822315965e-23
81.75	 1.3082163429647254e-23
