#freq	 asd
20.0	 6.243348460561849e-22
20.25	 5.9122669087246055e-22
20.5	 5.595498190509939e-22
20.75	 5.305101318542371e-22
21.0	 5.031545488217313e-22
21.25	 4.776750987857751e-22
21.5	 4.533800833737627e-22
21.75	 4.307272919145012e-22
22.0	 4.096095702006973e-22
22.25	 3.8954268058840483e-22
22.5	 3.70913736601922e-22
22.75	 3.5338576654981452e-22
23.0	 3.3736034147480937e-22
23.25	 3.22505813901083e-22
23.5	 3.0866000712758366e-22
23.75	 2.955807842198136e-22
24.0	 2.835692155365247e-22
24.25	 2.7238024891684053e-22
24.5	 2.619265164125236e-22
24.75	 2.5215669731339676e-22
25.0	 2.4306789175043257e-22
25.25	 2.3453038182717396e-22
25.5	 2.263526010453602e-22
25.75	 2.186713287104645e-22
26.0	 2.1150189124449929e-22
26.25	 2.0458567887318017e-22
26.5	 1.9805403303139273e-22
26.75	 1.9196510099494647e-22
27.0	 1.8623748280085833e-22
27.25	 1.8082781865631185e-22
27.5	 1.757636196714212e-22
27.75	 1.710016081795724e-22
28.0	 1.6648348266419705e-22
28.25	 1.6211477415707675e-22
28.5	 1.5793289714305882e-22
28.75	 1.5400422072138153e-22
29.0	 1.5036023410463287e-22
29.25	 1.4674655021498801e-22
29.5	 1.4330404739573828e-22
29.75	 1.4019129787543876e-22
30.0	 1.3713825141075702e-22
30.25	 1.3421326312999026e-22
30.5	 1.3145113160410602e-22
30.75	 1.2885670335686847e-22
31.0	 1.2624539595565454e-22
31.25	 1.2373419090938445e-22
31.5	 1.2133775175105232e-22
31.75	 1.1903675902846146e-22
32.0	 1.1684819211267242e-22
32.25	 1.1472379875161038e-22
32.5	 1.126336983322487e-22
32.75	 1.1062007051163906e-22
33.0	 1.087248821567538e-22
33.25	 1.0691468561427845e-22
33.5	 1.0516059147798665e-22
33.75	 1.0345747918831194e-22
34.0	 1.0183123292978437e-22
34.25	 1.0036234353581029e-22
34.5	 9.91982862755199e-23
34.75	 9.853578030340045e-23
35.0	 9.94424456658222e-23
35.25	 1.0335569650483713e-22
35.5	 1.1451506451118124e-22
35.75	 1.4699676867196774e-22
36.0	 2.512936529242233e-22
36.25	 1.0530360867510666e-21
36.5	 5.2789250799760365e-22
36.75	 1.9571573774226742e-22
37.0	 1.2679550465217607e-22
37.25	 9.991346255635424e-23
37.5	 8.969253034673512e-23
37.75	 8.392794528641816e-23
38.0	 8.091785958612597e-23
38.25	 7.896644857152941e-23
38.5	 7.747547999205943e-23
38.75	 7.625975347455563e-23
39.0	 7.514419471921966e-23
39.25	 7.402702209328699e-23
39.5	 7.303629234839348e-23
39.75	 7.205206450893687e-23
40.0	 7.110168774368158e-23
40.25	 7.014944761008457e-23
40.5	 6.921842240328798e-23
40.75	 6.829802339746005e-23
41.0	 6.739525205828672e-23
41.25	 6.649236798310013e-23
41.5	 6.562366189111973e-23
